"season","game_type","week","gameday","away_team","away_score","home_team","home_score","location","overtime","winner","loser","away_offensive_epa","away_passing_epa","away_rushing_epa","away_defensive_epa","away_defensive_pass_epa","away_defensive_rush_epa","home_offensive_epa","home_passing_epa","home_rushing_epa","home_defensive_epa","home_defensive_pass_epa","home_defensive_rush_epa"
2002,"SB",21,"2003-01-26","OAK",21,"TB",48,"Neutral",0,"TB","OAK",NA,NA,NA,NA,NA,NA,-0.0246441857553196,0.0209402192265481,-0.14633395441692,-0.153276434284058,-0.290458418984598,-0.0756830674255356
2003,"WC",18,"2004-01-03","TEN",20,"BAL",17,"Home",0,"TEN","BAL",0.0467984708621607,0.213862780869794,-0.166716153772948,-0.0425192438592524,-0.0683741195300755,-0.115080393092694,-0.0485563403932244,-0.105021334221669,-0.0754258814345815,-0.146907295663716,-0.181514296037433,-0.209945936828713
2003,"WC",18,"2004-01-03","DAL",10,"CAR",29,"Home",0,"CAR","DAL",-0.0539926098525878,-0.0531863478477186,-0.123283990605967,-0.076375809077272,-0.106608984531535,-0.144924630845261,-0.0506308404638845,-0.0133981278893725,-0.133252614260614,-0.0630950624306711,-0.00449505766275507,-0.186172964548661
2003,"WC",18,"2004-01-04","SEA",27,"GB",33,"Home",1,"GB","SEA",0.0686030711477327,0.148337965180743,-0.039070544123641,0.00174617014149599,0.0713186926181285,-0.139799716085364,0.0724795859082384,0.129747849401478,0.0011199830008062,-0.0342551851919908,-0.0705770110359164,-0.0865218688629297
2003,"WC",18,"2004-01-04","DEN",10,"IND",41,"Home",0,"IND","DEN",0.0206436915926569,0.0428193891316858,0.0489607324210764,-0.0418159633898242,-0.0478970131526153,-0.110923251137233,0.109820402818792,0.212485369521926,-0.0624252942261468,0.0257809914918082,-0.0232995735855861,0.0324578449568073
2003,"DIV",19,"2004-01-10","CAR",29,"STL",23,"Home",1,"CAR","STL",-0.0506308404638845,-0.0133981278893725,-0.133252614260614,-0.0630950624306711,-0.00449505766275507,-0.186172964548661,NA,NA,NA,NA,NA,NA
2003,"DIV",19,"2004-01-10","TEN",14,"NE",17,"Home",0,"NE","TEN",0.0467984708621607,0.213862780869794,-0.166716153772948,-0.0425192438592524,-0.0683741195300755,-0.115080393092694,-0.0357656117579959,0.0482038707911435,-0.160827264638584,-0.116838420997096,-0.169233647393958,-0.136990538236832
2003,"DIV",19,"2004-01-11","IND",38,"KC",31,"Home",0,"IND","KC",0.109820402818792,0.212485369521926,-0.0624252942261468,0.0257809914918082,-0.0232995735855861,0.0324578449568073,0.127554566800157,0.157321882641634,0.0690396985306641,0.00415760644839751,-0.0243309555636909,0.00648298152886666
2003,"DIV",19,"2004-01-11","GB",17,"PHI",20,"Home",1,"PHI","GB",0.0724795859082384,0.129747849401478,0.0011199830008062,-0.0342551851919908,-0.0705770110359164,-0.0865218688629297,0.0437026660595976,0.0620859950138043,0.0192253530914558,-0.0275277473493065,-0.0434928988981313,-0.0153759895976537
2003,"CON",20,"2004-01-18","IND",14,"NE",24,"Home",0,"NE","IND",0.109820402818792,0.212485369521926,-0.0624252942261468,0.0257809914918082,-0.0232995735855861,0.0324578449568073,-0.0357656117579959,0.0482038707911435,-0.160827264638584,-0.116838420997096,-0.169233647393958,-0.136990538236832
2003,"CON",20,"2004-01-18","CAR",14,"PHI",3,"Home",0,"CAR","PHI",-0.0506308404638845,-0.0133981278893725,-0.133252614260614,-0.0630950624306711,-0.00449505766275507,-0.186172964548661,0.0437026660595976,0.0620859950138043,0.0192253530914558,-0.0275277473493065,-0.0434928988981313,-0.0153759895976537
2003,"SB",21,"2004-02-01","CAR",29,"NE",32,"Neutral",0,"NE","CAR",-0.0506308404638845,-0.0133981278893725,-0.133252614260614,-0.0630950624306711,-0.00449505766275507,-0.186172964548661,-0.0357656117579959,0.0482038707911435,-0.160827264638584,-0.116838420997096,-0.169233647393958,-0.136990538236832
2004,"WC",18,"2005-01-08","STL",27,"SEA",20,"Home",0,"STL","SEA",NA,NA,NA,NA,NA,NA,0.0286054289253464,0.0919393794380341,-0.0402750970591802,0.0294053231130524,0.0101479949568336,-0.0103821126557623
2004,"WC",18,"2005-01-08","NYJ",20,"SD",17,"Home",1,"NYJ","SD",0.0394036553227115,0.0168901217102887,0.0559830190374073,-0.0236598623870109,0.0523297063247779,-0.184693678619466,NA,NA,NA,NA,NA,NA
2004,"WC",18,"2005-01-09","DEN",24,"IND",49,"Home",0,"IND","DEN",0.0344345221475661,0.153786496137852,-0.0563372108929341,-0.0222604279169104,-0.0354074228327003,-0.126404169838722,0.181134886502518,0.411755179717219,-0.00280892353631831,0.0539405095252449,0.105896794240431,-0.071850583011589
2004,"WC",18,"2005-01-09","MIN",31,"GB",17,"Home",0,"MIN","GB",0.10836574562733,0.287195440601691,-0.0930716383365225,0.103026268162683,0.187071616307976,-0.0129607732884926,0.110036159560195,0.244157687040568,-0.0854931176880763,0.0758902204405362,0.161114220324651,-0.0436408800093494
2004,"DIV",19,"2005-01-15","NYJ",17,"PIT",20,"Home",1,"PIT","NYJ",0.0394036553227115,0.0168901217102887,0.0559830190374073,-0.0236598623870109,0.0523297063247779,-0.184693678619466,0.0381311703043147,0.133324151456956,-0.0277240580359066,-0.0627347521051896,-0.119171487085983,-0.15411333894567
2004,"DIV",19,"2005-01-15","STL",17,"ATL",47,"Home",0,"ATL","STL",NA,NA,NA,NA,NA,NA,-0.0155859679519058,-0.0471827014088583,-0.0143937488861438,-0.0205990539767554,0.00430318762150725,-0.0654200476746546
2004,"DIV",19,"2005-01-16","MIN",14,"PHI",27,"Home",0,"PHI","MIN",0.10836574562733,0.287195440601691,-0.0930716383365225,0.103026268162683,0.187071616307976,-0.0129607732884926,0.0717086130933109,0.139441814513614,-0.0601827800507951,-0.0330880969539408,-0.00585450975457406,-0.0603881115072842
2004,"DIV",19,"2005-01-16","IND",3,"NE",20,"Home",0,"NE","IND",0.181134886502518,0.411755179717219,-0.00280892353631831,0.0539405095252449,0.105896794240431,-0.071850583011589,0.103677613665921,0.227695169059561,-0.0364839672978648,-0.0436854275586713,-0.0511801967934737,-0.151451410564008
2004,"CON",20,"2005-01-23","ATL",10,"PHI",27,"Home",0,"PHI","ATL",-0.0155859679519058,-0.0471827014088583,-0.0143937488861438,-0.0205990539767554,0.00430318762150725,-0.0654200476746546,0.0717086130933109,0.139441814513614,-0.0601827800507951,-0.0330880969539408,-0.00585450975457406,-0.0603881115072842
2004,"CON",20,"2005-01-23","NE",41,"PIT",27,"Home",0,"NE","PIT",0.103677613665921,0.227695169059561,-0.0364839672978648,-0.0436854275586713,-0.0511801967934737,-0.151451410564008,0.0381311703043147,0.133324151456956,-0.0277240580359066,-0.0627347521051896,-0.119171487085983,-0.15411333894567
2004,"SB",21,"2005-02-06","NE",24,"PHI",21,"Neutral",0,"NE","PHI",0.103677613665921,0.227695169059561,-0.0364839672978648,-0.0436854275586713,-0.0511801967934737,-0.151451410564008,0.0717086130933109,0.139441814513614,-0.0601827800507951,-0.0330880969539408,-0.00585450975457406,-0.0603881115072842
